,originalTitle,rating,startYear,runtimeMinutes,numVotes,totalImages,totalCredits,titleType,canHaveEpisodes,numRegions,countryOfOrigin,genres,ratingNum,numGenres,criticReviewsRatio,awardsAndNominations,hasVideos,moreCountriesOfOrigin
88,You Never Left,"(7, 8]",2010,2.1972245773362196,2.70805020110221,1.791759469228055,3.332204510175204,short,False,0.6931471805599453,['US'],['Short'],8,1,0.0,False,False,False
89,Histoire de rire,"(6, 7]",1941,4.51085950651685,2.8903717578961645,0.6931471805599453,3.1780538303479458,movie,False,2.4849066497880004,['FR'],['Comedy'],7,1,0.0,False,False,False
90,In His Father's House,"(7, 8]",1981,3.912023005428146,4.454347296253507,0.6931471805599453,4.454347296253507,tvEpisode,False,0.6931471805599453,['US'],"['Drama', 'Romance']",8,2,0.0,False,False,False
91,Disco,"(7, 8]",2013,3.4011973816621555,2.3978952727983707,0.0,4.204692619390966,short,False,1.0986122886681098,['FI'],"['Documentary', 'Short']",8,2,0.0,False,False,False
92,Heaven Scent,"(6, 7]",1997,3.713572066704308,4.804021044733257,1.3862943611198906,4.718498871295094,tvEpisode,False,0.6931471805599453,['US'],"['Drama', 'Romance']",7,2,0.0,False,False,False
93,Soft Like Me,"(6, 7]",1996,3.295836866004329,4.110873864173311,1.0986122886681098,3.044522437723423,short,False,1.0986122886681098,['CA'],['Short'],7,1,1.0,False,False,False
94,Candid Candid Camera Volume 6,"(4, 5]",1987,4.110873864173311,3.871201010907891,1.9459101490553132,2.4849066497880004,video,False,0.6931471805599453,['US'],"['Comedy', 'Reality-TV']",5,2,0.0,False,False,False
95,The vow of obedience (An obedient hostage),"(8, 9]",2022,2.5649493574615367,2.0794415416798357,0.6931471805599453,1.3862943611198906,short,False,0.6931471805599453,['RU'],"['Drama', 'Short']",9,2,0.0,False,False,False
96,Wake up! Kabigon!,"(7, 8]",1998,3.1354942159291497,6.313548046277095,1.0986122886681098,3.6888794541139363,tvEpisode,False,0.6931471805599453,['JP'],"['Action', 'Adventure', 'Animation']",8,3,0.0,False,False,False
97,1647: Imaginary Friends,"(7, 8]",1992,3.367295829986474,2.6390573296152584,0.6931471805599453,3.2188758248682006,tvEpisode,False,0.6931471805599453,['US'],"['Family', 'Fantasy', 'Music']",8,3,0.0,False,False,False
98,Ashbah,"(5, 6]",1982,4.969813299576001,2.772588722239781,2.5649493574615367,2.3978952727983707,movie,False,1.0986122886681098,['IR'],['Drama'],6,1,0.0,False,False,False
99,The Diplomat,"(7, 8]",2023,3.9318256327243257,11.030816865301732,4.143134726391533,6.520621127558696,tvSeries,True,3.2188758248682006,"['GB', 'US']","['Comedy', 'Drama', 'Thriller']",8,3,0.05714285714285714,True,True,True
100,Don't Shoot Me Close-up,"(8, 9]",2017,2.4849066497880004,2.1972245773362196,1.0986122886681098,2.0794415416798357,short,False,0.6931471805599453,['AZ'],"['Comedy', 'Drama', 'Short']",9,3,0.0,False,False,False
101,Pillow Talk,"(7, 8]",1988,3.871201010907891,4.624972813284271,1.0986122886681098,4.290459441148391,tvEpisode,False,0.6931471805599453,['US'],"['Drama', 'Romance']",8,2,1.0,False,False,False
102,The Uninvited,"(3, 4]",2008,4.584967478670572,7.029087564149662,0.6931471805599453,3.828641396489095,movie,False,1.3862943611198906,['US'],"['Horror', 'Thriller']",4,2,0.047619047619047616,False,True,False
103,Fallout: The Wastes,"(7, 8]",2011,2.5649493574615367,2.833213344056216,1.0986122886681098,3.258096538021482,short,False,0.6931471805599453,['US'],"['Action', 'Short']",8,2,0.0,False,False,False
104,Japan: The Future,"(7, 8]",2008,3.8501476017100584,3.2188758248682006,1.0986122886681098,2.9444389791664403,tvEpisode,False,0.6931471805599453,['CA'],"['Adventure', 'Documentary']",8,2,0.0,False,False,False
